Speaker 1:                                             Joe Biden picking up not one but three endorsements from his former opponents.
David Zuckerman:                                       The state of Vermont, strongly believing in economic justice, social justice, racial justice, and environmental justice, proudly supporting democracy and the Constitution of the United States, and vehemently opposed to the authoritarianism and racism of the Trump administration, is proud to cast 15 votes for Vermont Senator Bernie Sanders and 9 votes for the next President of the United States, Joe Biden.

Announcer:                                             The US Virgin Islands.

Cecil Benjamin:                                        In recognition of our Governor Albert Bryan Jr, our delegate to congress Stacey Plaskett, we bring you greetings from the Virgin Islands of the United States, where a young Alexander Hamilton was raised, the vacation home of our nominee, with turquoise waters, white sand beaches, and friendly people. We cast our 13 votes for Joseph R. Biden.

Announcer:                                             Virginia.

Khizr Khan:                                            Three years ago, my beloved city Charlottesville, Virginia, was attacked by white supremacists, and a young woman was killed. We were attacked again when Donald Trump praised those racists, turning his back on a community that just wanted peace. That was the day Joe Biden decided to join this battle for the soul of America. Over time, my wife Ghazala and I have come to know his soul. He's a decent, compassionate man. He will bring this nation together. Virginia cast 32 votes for Bernie Sanders and 91 votes for our President, Joe Biden.

Announcer:                                             Washington.

My-Linh Thai:                                          [foreign language 00:28:07]. As a 15-year-old refugee from Vietnam, I knew that education was the key to finding opportunities in my new home. When having children of my own, I became an advocate to improve the public education system that gave me a chance to contribute to our America. Democrat invest in educations because we are committed to fighting for all kids. Washington cast 43 votes to Senator Bernie Sanders and 66 votes to our next President, Joe Biden.

Announcer:                                             West Virginia.

Fred Albert:                                           West Virginians have changed the narrative about public education. Parents, teachers, and service personnel have worked together to fight for safe and welcoming schools, sufficient funding for classroom equipment, and fair wages for teachers and school service personnel. Elections matter, but so does activism, so let's keep fighting to guarantee a quality education for all our children, and let's elect a President who will fight alongside us. West Virginia cast 34 votes for our next President, Joe Biden.

Announcer:                                             Wyoming.

Dennis Shepherd:                                       After our son Matthew's death in Wyoming, Joe Biden helped pass legislation to protect LGBTQ Americans from hate crimes. Joe understands more than most our grief over Matt's death, but we see in Joe so much of what made Matt's life special: his commitment to equality, his passion for social justice, and his boundless compassion for others.

Judy Shepherd:                                         With three abstentions, Wyoming cast 4 votes for Bernie Sanders and 11 votes for the next President of the United States, Joe Biden.

Announcer:                                             Wisconsin.

Mandela Barnes:                                        Welcome back to Milwaukee, Wisconsin, a great city on native land on a Great Lake. It's the place where I was born and raised right in the heart of 53206 zip code. This is a community that's been faced with some significant challenges due to historical injustice, but what many don't see is the joy, the resilience, and opportunity that lies within this community and so many others across America just like it, where hardworking people are fighting to provide for their families and to build a better future. We know that we build a better future for our nation by channeling Wisconsin's legacy as the birthplace of the labor and the progressive movement, and uniting around a bold inclusive agenda that uplifts every community and the pursuit of a more just future, one that recognizes healthcare as a human right, one that tackles the climate crisis and takes on racial and economic justice. Wisconsin cast 30 votes for Bernie Sanders and 67 for the next President of the United States of America, Joseph R. Biden.

Announcer:                                             Delaware.

John Carney:                                           Long before this train station bore his name, you'd see Joe Biden up here on the platform with the rest of the crowd on his way to work or going home to his family. That's always been his north star, delivering for f-

John Carney:                                           His family. That's always been his North star, delivering for families like his own, working people who struggle and sacrifice to build a better life. Nobody has ever had to wonder who Joe Biden's in it for.

Speaker 29:                                            Our nation faces daunting challenges, but I've known Joe Biden for 40 years. And there's nobody I trust more to lead our party, unite our country and restore our standing in the world. What's more, he's humble, he tells the truth, he treats everybody he encounters with respect and builds bridges, not walls. He is a leader made for this moment, and the finest public servant I've ever known.

John Carney:                                           Delaware is proud to cast its 32 votes for our favorite son, and our next president.

Speaker 29:                                            Our friend, Delaware's Joe Biden.

Joe Biden:                                             All right. Hey guys. How are you?

Speaker 30:                                            Thank you to all our delegations. I'm pleased to announce that vice president Joe Biden has officially been nominated by the democratic party as our candidate for President of the United States. Vice President Biden is hereby invited to deliver an acceptance speech.

Joe Biden:                                             Thank you very, very much from the bottom of my heart. Thank you all. It means the world to me and my family. And I'll see you on Thursday. Thank you, thank you, thank you.

Tracee Ellis Ro...:                                    That was so sweet with the grandkids. Yay. And now we have an official nominee. Onto the next step. Electing Joe Biden and Kamala Harris in November. Make sure you have a plan to vote. Text vote to 30330 to find out how. Now we're going to talk about a topic that touches all of our lives. Healthcare. The Affordable Care Act was game-changing. This pandemic has revealed just how important it is to protect and improve it. Increasing access to healthcare and bringing down its cost have always been a priority for Joe Biden, because for Joe, and for all of us, healthcare is personal.

Speaker 31:                                            It's the toughest battles that called for the steadiest leadership. Again and again, they were told to give up on affordable healthcare. They knew it would cost them politically.

Speaker 32:                                            The Republicans say this will prove to be unpopular.

Speaker 33:                                            Bill is a legislative train wreck.

Speaker 31:                                            But not nearly as much as it would cost the American people if they did nothing.

Joe Biden:                                             We are not going to slow up on providing affordable healthcare for Americans. Health care is a natural American right.

Speaker 31:                                            Giving up on the Affordable Care Act would have meant leaving 20 million without coverage out in the cold. But Joe Biden wasn't about to give up, because he knew what it was like to stand in their shoes. He was sworn into the Senate next to a hospital bed. His wife and daughter had been killed in a car crash. And lying in that bed were his two sons. 40 years later, one of those little boys, his son, Beau was diagnosed with cancer, and given only months to live. It's hard to imagine a greater grief than losing your child. But Joe always knew that his family was one of the lucky ones. After that accident, his son got 40 more years of life, all because he had healthcare.

Speaker 32:                                            Without objection, the motion to reconsider is laid on the table.

Speaker 31:                                            Now, it's unthinkable that Donald Trump is trying to take that healthcare away. In the middle of a pandemic, he's still trying to get rid of the Affordable Care Act. This fight is personal for Joe, as personal as it gets. So when Joe says he has a plan to strengthen the Affordable Care Act, protect those with preexisting conditions, and expand access to every American, he's thinking about how having healthcare saved his boys. When his plan talks about lowering drug prices and making care more affordable, he's thinking about Beau, who spent his final days in comfort because he was insured. Joe Biden knows what affordable healthcare means to American families, because of what it's meant to his.

Joe Biden:                                             This is my promise to you. When I'm president, I will take care of your healthcare coverage and your family the same way I would my own. For that's what the presidency is, the duty to care. To care for all of us, not just those who vote for us, but all of us. This job is not about me. It's about you. It's about us.

Speaker 33:                                            [inaudible 01:39:48].

Joe Biden:                                             How are you? You handsome boy.

Steve Gomez:                                           He was born in '15, and with a heart condition known as transposition of the greater arteries, and ended up requiring a transplant. And thankfully, the ACA had already taken effect. But now, that's something that we think about all the time, especially with his coverage, and the potential of coverage maxes, and his initial hospital stay was over $3 million, that was billed back to the insurance.

Joe Biden:                                             I remember thinking as Beau lay dying in bed, and we lie in bed with him, his brother and I, and his sister. And thinking to myself, what in God's name would I do, if the doctor walked in and said, "I'm sorry, you have outrun your insurance. You've reached your cap, suffer the last few months of your life on your own."

Jeff Jeans:                                            I came from a near part of the country where rural Missouri, where basically everybody was Republican, and I was a Republican, and I lost my voice. And we put off going to the doctor, because we didn't have health insurance. When we finally got into somebody that could take a look in my throat, they said, "Wow, you've got cancer." It was stage four, the worst kind of cancer you can have. My wife applied for insurance through the Affordable Care Act. And my coverage began on April 1st in 2012. And that same day they started my chemo and radiation. And it saved my life. I'm here today.

Dr. Angie Taylo...:                                    Generally speaking as a church, you're concerned about people spiritually, but you're also concerned about other areas of their life. And that includes their physical or physiological wellbeing, because the Bible talks about all of us. But there are people in our country, and in fact, people in my church that can't take advantage of it, because they don't have good healthcare. That's definitely discouraging to me and that's pretty discouraging to them.

Julie Buckholt:                                        Because of the Myasthenia gravis, and the fact that it's a very rare disease, a lot of our medications we have to fight for. And before the ACA, we worried about our medications. We worried about the preexisting conditions for our children. We worried about age, and the cap, because having that cost of the medications, we would have reached that million dollar cap in no time. But once the ACA passed, we no longer had that cap of the million dollars.

Joe Biden:                                             The fear that you all live in, understandably, if somehow, tomorrow they said, "No insurance, you're not covered," is just devastating. Hey Laura, how are you doing?

Laura Packard:                                         [crosstalk] again.

Joe Biden:                                             How are you doing?

Laura Packard:                                         Doing well.

Joe Biden:                                             Well, you beat Hodgkin's lymphoma. God love you. But during it all, Trump was trying to rip away your coverage. The day you got your first chemo, Republicans voted to gut the ACA. I can't imagine what it must've been like going to sleep at night, wondering what to do.

Laura Packard:                                         Ever since I was diagnosed, every night, I'd go to bed concerned about what news I would get in the morning. And even still, even today, they're still trying to take away our healthcare. Even during a pandemic.

Joe Biden:                                             Look, we're going to make sure we don't lose that ACA, we're going to provide a Medicare-like option as a public option, and any state if you qualify for Medicaid, and the state hasn't provided it, you'd automatically be enrolled. I'm going to protect you like I tried to protect my own family, my own family. And I promise you that.

Eugene F.:                                             I met Joe last year at a campaign event to thank him for all being so involved in the battle to cure cancer. Indeed I have what's been diagnosed with terminal cancer. The inspiration and the empathy and the human love that he shared with me has kept me going.

Lisa P.:                                               I made an appointment for my wellness checkup provided for by the Affordable Care Act. I was told that I had ovarian cancer. I finished my course of treatment. And since then, I've been cancer-free. And I am very grateful for that.

Jacqueline A.:                                         I chose to become a Joe Biden delegate as I watch with our nation as President Donald Trump sought to dismantle the Affordable Care Act.

Eugene F.:                                             My purpose in life right now is to devote all my energy to getting Joe elected.

Jacqueline A.:                                         I anxiously jumped at the chance to become a Biden delegate.

Lisa P.:                                               He will continue to strengthen the Affordable Care Act so that diseases like cancer don't go undetected.

Ady Barkan:                                            Hey Carl, it's me, dad. By the time you're watching this, you will have grown up to be strong and courageous, but I don't know how much longer I'll be around for you. I was diagnosed with ALS today, which is a deadly debilitating disease. After I was diagnosed, the president passed a tax bill that put my healthcare at risk. So I went to Washington, DC.

Speaker 34:                                            My next guest made headlines when he confronted a Republican Senator on an airplane.

Ady Barkan:                                            You can be an American hero. I wanted to help create a better country for you to live in.

Ady Barkan:                                            Democracy is beautiful.

Crowd:                                                 Democracy is beautiful.

Ady Barkan:                                            All that matters to me is to make you proud, because I'm already so proud of you. Hello America. My name is Ady Barkan, and I am speaking to you through this computer voice because I have been paralyzed by a mysterious illness called ALS. Like so many of you, I have experienced the ways our healthcare system is fundamentally broken. Enormous costs, denied claims, dehumanizing treatment when we are most in need. Since my shocking diagnosis, I have traveled the country meeting countless patients like me demanding more of our representatives and our democracy. Today, we are witnessing the tragic consequences of our failing healthcare system. In the midst of a pandemic, nearly a hundred million Americans do not have sufficient health insurance. And even good insurance does not cover essential needs like long-term care.

Ady Barkan:                                            Our loved ones are dying in unsafe nursing homes. Our nurses are overwhelmed and unprotected, and our essential workers are treated as dispensable. We live in the richest country in history, and yet we do not guarantee this most basic human right. Everyone living in America should get the healthcare they need, regardless of their employment status or ability to pay. Even during this terrible crisis, Donald Trump and Republican politicians are trying to take away millions of people's health insurance. With the existential threat of another four years of this president, we all have a profound obligation to act. Not only to vote, but to make sure that our friends, family, and neighbors vote as well. We must elect Joe Biden. Each of us must be a hero for our communities, for our country, and then with a compassionate and intelligent president, we must act together and put on his desk a bill that guarantees us all the healthcare we deserve. Text vote to 30330 to learn how to vote safely, because our lives depend on it.

Tracee Ellis Ro...:                                    Politics and elections can seem like these far away things that one person doesn't have the power to change. But what's happening in our country right now makes it clear how personal politics are. I've discovered that when I get informed and participate, my fear gets smaller. Voting is a big part of that. So knowing the change you want, vote for the leaders you think will make it happen. And if you're able, if you can, help fund this campaign. Please go to JoeBiden.com, and chip in whatever you can. With leaders like Joe Biden and Kamala Harris, we can build back better here at home, and once again strengthen our nation's security and standing in the world.

Demarcus G.:                                           My name is DeMarcus Gilliard. I'm 34 years old, and I currently live in Los Angeles, California. I'm a 2009 graduate of the US Naval Academy in Annapolis, and I served on active duty in the Marine Corps as an officer for six years. I took an oath to support, uphold and defend the constitution of the United States of America. And I know that Joe Biden in his years of public service took a similar oath, and he understands the sacrifice of the men and women in uniform who are overseas right now fighting for the ideals of this nation. That liberty and justice can be extended to all people. I know that Joe Biden understands that at his core, I trust him to lead us on day one into a greater future. There's nothing more important for me right now in making sure that we restore the soul of our nation. And I think that Joe Biden is the best person to do that. Thanks, Joe.

John Kerry:                                            Hi, I'm John Kerry. For the eight years of the Obama/Biden administration, we led by example. We eliminated the threat of Iran with a nuclear weapon. We built a 68 nation coalition to destroy ISIS. We forged 195 nation agreement to attack climate change. We stopped Ebola before it became a pandemic. Donald Trump inherited a growing economy and a more peaceful world. And like everything else he inherited, he bankrupted it. When this president goes overseas, it isn't a goodwill mission, it's a blooper reel. He breaks up with our allies and writes love letters to dictators. America deserves a president who is looked up to, not laughed at. Donald Trump pretends Russia didn't attack our elections. And now he does nothing about Russia putting a bounty on our troops. So he won't defend our country, he doesn't know how to defend our troops, the only person he's interested in defending is himself.

John Kerry:                                            This is the bottom line, our interests, our ideals, and our brave men and women in uniform can't afford four more years of Donald Trump. Our troops can't get out of harm's way by hiding in the White House bunker. They need a president who will stand up for them. And President Biden will. Joe's moral compass has always pointed in the right direction, from the fight to break the back of Apartheid, to the struggle to wake up the world to genocide in the Balkans. Joe understands that none of the issues of this world, not nuclear weapons, not the challenge of building back better after COVID, not terrorism, and certainly not the climate crisis. None can be resolved without bringing nations together with strength, and humility. Joe understands our values don't limit our power, they magnify it. He knows you can't spread democracy around the world if you don't practice it at home.

John Kerry:                                            And he knows that even the United States of America needs friends on this planet. Before Donald Trump, we used to talk about American exceptionalism. The only thing exceptional about the incoherent Trump foreign policy is that it has made our nation more isolated than ever before. Joe Biden knows we aren't exceptional because we bluster that we are, we are exceptional because we do exceptional things. On June 6th, 1944, young Americans gave their lives and the beaches of Normandy to liberate the world from tyranny. Out of the ashes of that war we made peace and rebuilt the world. That was, and remains exceptional. It is the opposite of everything Donald Trump stands for. This moment is a fight for the security of America, and the world. Only Joe Biden can make America lead like America again. If you agree, text join to 30330. Thank you.

Brett Mcgurk:                                          In the Situation Room, presidents make decisions of war and peace. So when Joe Biden walks into the Situation Room, first and foremost in his mind is how will my decision impact the lives of the American people.

Marie Y.:                                              He is experienced. He has made the tough calls.

Chuck Hagel:                                           He's got courage. He's got tremendous courage, character, judgment, and he can be tough. I witnessed it, close up.

Linda Greenfiel...:                                    Joe Biden is decisive and well prepared for any issue.

Chuck Hagel:                                           There is no one more qualified than Joe Biden to be sitting at the head of the table in the Situation Room making decisions for this country.

Linda Greenfiel...:                                    Having sent his son to war, I don't think anyone can be more ready than vice president Biden.

Jack Weinstein:                                        He knows exactly what's at stake when he sends our troops overseas.

Rose G.:                                               Biden understands how important it is to have allies standing together with us. They are force multipliers.

Brett Mcgurk:                                          Joe Biden has the unique ability to connect with people. He knows the leaders, and he's dealt with them for years, he knows what makes them tick.

Marie Y.:                                              They trust him, they trust his judgment, and they know that his word is good.

Tom C.:                                                I know that Biden's personal diplomacy will save American lives.

Linda Greenfiel...:                                    To build these relationships takes decades, and to tear them down, all it takes is a Tweet.

Tom C.:                                                Thanks to Donald Trump, our adversaries are stronger, and bolder.

Rose G.:                                               Donald Trump has had a love fest with dictators, including China and Russia. He hasn't been standing up to them at all.

Jack Weinstein:                                        I served in the United States Air Force for 36 years. I've led space squadrons, nuclear missile squadrons, and I never thought I would have a president who is a danger to national security.

Chuck Hagel:                                           President Trump has degraded and debased the presidency and our country in the eyes of the world.

Jack Weinstein:                                        The Russians offered bounties on US soldiers. I was shocked when I read that. But the president didn't even asked Vladimir Putin about it. That's un-American.

Chuck Hagel:                                           There's something wrong with that. I mean, that's a dereliction of duty. You're failing the troops. You're failing this country.

Jack Weinstein:                                        The first thing a president needs to do is find out what the facts are. This president doesn't care about facts.

Tom C.:                                                Biden cares about the safety and welfare of American servicemen and women.

Brett Mcgurk:                                          Our military had a policy to maintain our presence in Syria, we actually came to the aid of the Kurds against ISIS and we help stop the advance. President Trump told us to simply abandon the Kurds. It's shameful.

Rose G.:                                               Joe Biden will be strong against dictators.

Brett Mcgurk:                                          I've heard him on the phone with some pretty tough characters. You talk about Joe Biden's empathy, his decency, but Joe Biden is tough as nails, and everybody knows it.

Marie Y.:                                              He will do the right thing, no matter the political cost.

Brett Mcgurk:                                          I've served for two Republican presidents, and one Democratic president. I have seen the Trump administration make decisions without any thought, without any preparation that have massive life and death consequences.

Chuck Hagel:                                           At one of the most defining times in the history of the world, Joe Biden is uniquely qualified to be president of the United States.

Jack Weinstein:                                        If you want a strong America, you want Joe Biden.

Colin Powell:                                          Hi, I'm former Secretary of State Colin Powell. 100 years ago, a young immigrant left a dirt farm in Jamaica and set out for America. Three years later, a ship pulled into New York Harbor, and a young Jamaican woman gazed up at the Statue of Liberty for the first time. They became my parents, and they inspired me to finish college and join the army. This began a journey of service that would take me from basic training to combat in Vietnam, up the ranks to serve as chairman of the joint chiefs of staff, and secretary of state.

Colin Powell:                                          The values I learned growing up in the South Bronx, and serving in uniform were the same values that Joe Biden's parents instilled in him in Scranton, Pennsylvania. I support Joe Biden for the presidency of the United States, because those values still define him. And we need to restore those values to the White House. Our country needs a commander in chief who takes care of our troops in the same way he would his own family. For Joe Biden, that doesn't need teaching, it comes from the experience he shares with millions of military families, sending his beloved son off to war, and praying to God he would come home safe. Joe Biden will be a president we will all be proud to salute. With Joe Biden in the White House, you will never doubt that he will stand with our friends, and stand up to our adversaries, never the other way around. He will trust our diplomats and our intelligence community, not the flattery of dictators and despots.

Colin Powell:                                          He will make it his job to know when anyone dares to threaten us, he will stand up to our adversaries with strength and experience. They will know he means business. I support Joe Biden because beginning on day one, he will restore Americans leadership, and our moral authority. He'll be a president who knows that America is strongest when, as he has said, we lead both by the power of our example, and the example of our power. He will restore America's leadership in the world and restore the alliances we need to address the dangers that threaten our nation, from climate change to nuclear proliferation. Today, we are a country divided, and we have a president doing everything in his power to make it that way, and keep us that way. What a difference it will make to have a president who unites us, who restores our strength, and our soul. I still believe that in our hearts, we are the same America that brought my parents to our shores, an America that inspires freedom around the world. That's the America Joe Biden will lead is our next president. Thank you very much.

Speaker 35:                                            It was a friendship that shouldn't have worked. John, a former Navy pilot just released from a North Vietnamese prison, Joe, a young Senator from Delaware. But in the 1970s, Joe was assigned a military aid for a trip overseas.

John McCain:                                           I was a Navy Senate liaison, and used to carry your bags on overseas trips.

Joe Biden:                                             This son of a gun never carried my bags. He was supposed to carry my bags dammit, but he never carried my bags.

Speaker 35:                                            John and Joe traveled thousands of miles together. Their families got to know each other, gathering for picnics in the Biden's backyard.

Cindy McCain:                                          They would just sit and joke. It was like a comedy show sometimes to watch the two of them.

Speaker 35:                                            But when John was elected to the Senate as a Republican from Arizona, they found themselves on opposing sides.

John McCain:                                           We're in different parties. We hold different views on many issues.

Ted Kaufman:                                           They'd be going at it on the floor, and you'd think, oh, these guys must really, really, really dislike each other. And they'd be having dinner that night together.

Cecillia Munoz:                                        Senator Biden had great respect for the institution of the Senate. He built relationships that were cordial, that were personal.

Joe Biden:                                             We've always been willing when we thought the other guy was right to cross the aisle and lock arms. It's good for the country.

Ron Klain:                                             It takes trust to get things done in a divided government. And I think with Joe Biden, his colleagues knew that your points were equally valid to him.

Speaker 35:                                            Even if a deal seemed out of reach, it was always Joe who tried to cross the aisle.

Ted Kaufman:                                           He was like a natural for that. He just had an ability to find the common ground, but never give up your principles.

Speaker 35:                                            For three decades, Joe was able to move his colleagues and find a way forward. On violence against women, banning chemical weapons, assault weapons, and controlling nuclear arms.

Cindy McCain:                                          It was a style of legislating and leadership that you don't find much anymore.

Speaker 35:                                            And when millions of Americans were faced with losing their health insurance, it was Joe's friend who saved Obamacare by crossing the aisle.

Speaker 36:                                            McCain passed his vote with a thumbs down.

Joe Biden:                                             John and I have been given several awards about bipartisanship. We don't understand why you should get an award for bipartisanship.

John McCain:                                           Thank you for your example of how to remain the same good guy that you were when you first got here. Most of all, for your friendship, my life and the lives of many have been enriched by it.

Jill Biden:                                            Love you.

Joe Biden:                                             Love you.

Jill Biden:                                            I have a rule that I never think of anything negative when I'm running. When I set my mind to something, I find a way to get it done.

Joe Biden:                                             She is so damn tough and loyal. When I met Jill, I knew, my brother said, "There's this this woman, you'll really like her Joe." So I gave her a call, and she had a date that night.

Jill Biden:                                            You said, "Do you think you could break your date?"

Joe Biden:                                             Oh, that's right. And what'd you do?

Jill Biden:                                            Well, I called and told the guy that I had a friend in from out of town, and went out with Joe.

Joe Biden:                                             I was 30, and I was a Senator, and I was a widower. Several years earlier, a tractor trailer broadsided my wife and three children. My wife was killed. My daughter was killed. I wasn't big on the whole date scene thing. But when I met Jill, I fell in love with her when I saw her.

Jill Biden:                                            He said, "I'd really like to see you again." So he's looking at his calendar, and he's, "Oh Thursday, no, no, I'm really busy. No, I'm busy Friday. How about tomorrow?" And I thought, "Buddy, you just blew your cover."

Joe Biden:                                             She's owned me since then. The boys fell in love with Jill too. I'm brushing my teeth one morning, and they came running in, and Beau and Hunt said, "Dad, we think it's time we married Jill." Swear to God. I asked her to marry me five times.

Jill Biden:                                            It wasn't just my heart that was on the line. And I loved the boys so much. I had to be sure that it had to be forever.

Dr. Jill Biden:                                        There's so much. I had to be sure that it had to be forever.

Joe Biden:                                             "Now I'm going to ask you one more time, will you marry me?" And she goes like this, "Okay." She put us back together. She gave me back my life. She gave us back a family. We are raised with the same values.

Dr. Jill Biden:                                        I grew up in Willow Grove, Pennsylvania, right outside of Philly. My mom was English-Scottish and my dad was Italian. My grandmother made the homemade noodles that would hang and she'd be drying her noodles.

Joe Biden:                                             They're very close family. She's the oldest of five girls.

Speaker 37:                                            She's like the godmother of all of us.

Speaker 38:                                            I think we've all seen the feistiness in her.

Speaker 39:                                            There was a bully in my school. She marched up the street and knocked on his door.

Dr. Jill Biden:                                        And I punched him right in the face. My father fought in World War II. He was a signalman in the Navy and he was very patriotic. He would take us to watch the Blue Angels and he was so proud. We worshiped our mother. I can picture her so well reading for hours. She just loved to read. And that had a great influence on me. I went to college at the University of Delaware. Then I taught in the high schools. I mean, I got up every single day so excited to go teach. When I married Joe, I took off time to establish myself as the boy's mom. We don't use the term stepmother.

Joe Biden:                                             Beau and Hunter said, "No, we have a mom and a mommy. My mommy died. This is our mom." And then along came Ashley and-

Dr. Jill Biden:                                        A family was complete.

Joe Biden:                                             Yeah.

Ashley Biden:                                          When I was growing up, mom was fun. The [inaudible] started when I was a teenager. There was some conflicts, she dealt with it by taking a parenting. She started to basically run marathons.

Joe Biden:                                             I never ever doubted anything she set her mind that she could do. I got to hand her, her doctorate degree in education at the University of Delaware.

Dr. Jill Biden:                                        Come on, let's turn it positive. So you will pass it.

Naomi Biden:                                           I would say, she's not your average grandmother. She's the grandmother who wakes you up at like, what was it? Like 5:00 AM on Christmas Eve to go soul cycling.

Natalie Biden:                                         Yeah. We have a lot of stories.

Naomi Biden:                                           Yeah. She's a praying star. She's very mischievous. When she goes on a run, sometimes she'll find a dead snake and she'll pick it up and put it in a bag and she'll use it to scare someone.

Amb. Cathy Russ...:                                    That's a classic Jill. She wasn't really a Washington person and I don't think ever imagined herself being part of that.

Dr. Jill Biden:                                        When Joe was elected to vice president, I just thought, Hey, I got to step it up here because there are things that I really care about. Having had a father in the military, having a son deployed in Iraq, I saw the need to support military families.

Ashley Williams:                                       Dr. Biden could draw anyone in and they felt like they were talking to an old friend. That is one of her super powers.

Amb. Cathy Russ...:                                    When she was second lady, Jill told me that she would like to continue teaching at community college. And I said, "That's insane. You cannot possibly do that."

Dr. Jill Biden:                                        And I said, "I know I can do both jobs."

Amb. Cathy Russ...:                                    I never saw her on any day of the week where she wasn't carrying a huge stack of papers to grade.

Joe Biden:                                             As second lady, she was teaching full time for eight years, 15 credits a semester.

Dr. Jill Biden:                                        These were students who wanted to be in your classroom. And I saw their tenacity and they were taking care of children, just like I had done.

Yvette Lewis:                                          She gave 100% from her energy to the students. She's a great teacher.

Joe Biden:                                             Teaching is not what Jill does, it's who she is. Jill just simply cares. She cares about other people.

Dr. Jill Biden:                                        When Beau was diagnosed with brain cancer, nobody knew what we were going through. The secret service, they're not supposed to react to your life or what you're doing. They would whisper, "I'm praying for you."

Hunter Biden:                                          It's your strength that holds this family together. And I know that you will make us whole again.

Dr. Jill Biden:                                        You never stop grieving, ever, but you do have to find purpose. Please welcome my husband, Joe Biden. Running for president is too tough to not be together.

Speaker 39:                                            The future first lady of the United States.

Speaker 38:                                            That's right?

Dr. Jill Biden:                                        There you go.

Ashley Williams:                                       If Dr. Biden is our first lady, the country will be getting one of the best humans that we have.

Amb. Cathy Russ...:                                    She has been through some really tough things in her own life. And she knows how hard it can be.

Joe Biden:                                             American people are in her heart. I know that she fight like [inaudible 02:10:00].

Dr. Jill Biden:                                        We all need community. We needed to depend on others for our strength. All American families, we all need each other.

Speaker 40:                                            And now please welcome Dr. Jill Biden.

Dr. Jill Biden:                                        I have always loved the sounds of a classroom. The quiet that sparks with possibility just before students shuffle in, the murmur of ideas bouncing back and forth as we explore the world together. The laughter and tiny moments of surprise you find in materials you've taught a million times. When I taught English here at Brandywine high school, I would spend my summer preparing for the school year about to start filled with anticipation. But this quiet is heavy. You can hear the anxiety that echoes down empty hallways. There's no scent of new notebooks or freshly waxed floors. The rooms are dark as the bright young faces that should fill them are now confined to boxes on a computer screen. I hear it from so many of you, the frustration of parents juggling work while they support their children's learning are afraid that their kids might get sick from school. The concern of every person working without enough protection, the despair in the lines that stretch out before food banks, and the indescribable sorrow that follows every lonely last breath when the ventilators turn off.

Dr. Jill Biden:                                        As a mother and a grandmother, as an American, I am heartbroken by the magnitude of this loss, by the failure to protect our communities by every precious and irreplaceable life gone. Like so many of you, I'm left asking, How do I keep my family safe? Motherhood came to me in a way I never expected. I fell in love with a man and two little boys standing in the wreckage of unthinkable loss, mourning a wife, and mother, a daughter, and sister. I never imagined at the age of 26, I would be asking myself, how do you make a broken family whole? Still Joe always told the boys, mommy sent Jill to us. And how could I argue with her?

Dr. Jill Biden:                                        And so we figured it out together in those big moments that we'd go by too fast, Thanksgivings, and state championships, birthdays, and weddings in the mundane ones, that we didn't even know were shaping our lives. Reading stories, pile on the couch, rowdy Sunday dinners and silly arguments, listening to the fate sounds of laughter that would float downstairs as Joe put the kids to bed every night, while I studied for grad school or graded papers under the pale yellow kitchen lamp, the dinner dishes waiting in the sink.

Dr. Jill Biden:                                        We found that love holds a family together. Love makes us flexible and resilient. It allows us to become more than ourselves together. And though it can't protect us from the sorrows of life, it gives us refuge, a home. How do you make a broken family whole? The same way you make a nation hole, with love and understanding, and with small acts of kindness, with bravery, with unwavering faith. You show up for each other in big ways and small ones again and again. It's what so many of you are doing right now for your loved ones, for complete strangers, for your communities. There are those who want to tell us that our country is hopelessly divided, that our differences are irreconcilable, but that's not what I've seen over these last few months. We're coming together and holding onto each other. We're finding mercy and grace in the moments we might have once taken for granted. We're seeing that our differences are precious and our similarities, infinite. We have shown that the heart of this nation still beats with kindness and courage. That's the soul of America Joe Biden is fighting for now.

Dr. Jill Biden:                                        After our son, Beau, died of cancer, I wondered if I would ever smile or feel joy again. It was summer, but there was no warmth left for me. Four days after Beau's funeral, I watched Joe shave and put on his suit. I saw him still himself in the mirror, take a breath, put his shoulders back, and walk out into a world empty of our son. He went back to work. That's just who he is.

Dr. Jill Biden:                                        There are times when I couldn't even imagine how he did it, how he put one foot in front of the other and kept going. But I've always understood why he did it, for the daughter who convinces her mom to finally get a breast cancer screening and misses work to drive her to the clinic, for the community college student who has faced homelessness and survived abuse, but binds the grit to finish her degree and make a good life for her kids. For the little boy whose mom is serving as a Marine in Iraq, who puts on a brave face in his video call and doesn't complain when the only thing he wants for his birthday is to be with her. For all those people, Joe gives his personal phone number to, at rope lines and events. The ones he talks to for hours after dinner, helping them smile through their loss, letting them know that they aren't alone. He does it for you.

